croc,adult clypeolabrum anlage
Coprox,anterior midgut primordium
Pdsw,anterior midgut primordium
l(2)k09913,anterior midgut primordium
Rs1,anterior midgut primordium
l(2)k01209,anterior midgut primordium
Vha36,anterior midgut primordium
milt,anterior midgut primordium
KdelR,anterior midgut primordium
l(2)09851,anterior midgut primordium
dnk,anterior midgut primordium
CG1910,anterior midgut primordium
Adk2,anterior midgut primordium
SNF1A,anterior midgut primordium
Elongin-B,anterior midgut primordium
Tal,anterior midgut primordium
Rbcn-3B,anterior midgut primordium
CG14805,anterior midgut primordium
CG3587,anterior midgut primordium
CG3095,anterior midgut primordium
CG13372,anterior midgut primordium
CG3156,anterior midgut primordium
Nmd3,anterior midgut primordium
vig,anterior midgut primordium
san,anterior midgut primordium
brk,anterior midgut primordium
NK7.1,anterior midgut primordium
Mkk4,anterior midgut primordium
MED6,anterior midgut primordium
CG11418,anterior midgut primordium
CG11417,anterior midgut primordium
E2f2,anterior midgut primordium
Dlc90F,anterior midgut primordium
Bin1,anterior midgut primordium
sec13,anterior midgut primordium
l(3)10615,anterior midgut primordium
Dph5,anterior midgut primordium
cpsf,anterior midgut primordium
p38b,anterior midgut primordium
ferrochelatase,anterior midgut primordium
Ts,anterior midgut primordium
TER94,anterior midgut primordium
Irp-1A,anterior midgut primordium
CG2713,anterior midgut primordium
CG3719,anterior midgut primordium
CG2662,anterior midgut primordium
Bem46,anterior midgut primordium
Ant2,anterior midgut primordium
und,anterior midgut primordium
pit,anterior midgut primordium
CG4882,anterior midgut primordium
Ip259,anterior midgut primordium
Bub3,anterior midgut primordium
Bap60,anterior midgut primordium
SF1,anterior midgut primordium
Int6,anterior midgut primordium
Gyk,anterior midgut primordium
CG4281,anterior midgut primordium
CG4194,anterior midgut primordium
CG4199,anterior midgut primordium
CG4045,anterior midgut primordium
CG4322,anterior midgut primordium
CG11163,anterior midgut primordium
CG5885,anterior midgut primordium
Bap55,anterior midgut primordium
Ate1,anterior midgut primordium
alphaCop,anterior midgut primordium
homer,anterior midgut primordium
TBPH,anterior midgut primordium
SNF4Agamma,anterior midgut primordium
CG3621,anterior midgut primordium
Cortactin,anterior midgut primordium
Rad21,anterior midgut primordium
UBL3,anterior midgut primordium
ApepP,anterior midgut primordium
slim,anterior midgut primordium
ps,anterior midgut primordium
nop5,anterior midgut primordium
mei-P26,anterior midgut primordium
msk,anterior midgut primordium
bonsai,anterior midgut primordium
TXBP181-like,anterior midgut primordium
SRPK,anterior midgut primordium
RpII33,anterior midgut primordium
Prosbeta3,anterior midgut primordium
Noa36,anterior midgut primordium
Mpcp,anterior midgut primordium
Kaz1,anterior midgut primordium
CG2358,anterior midgut primordium
tafazzin,anterior midgut primordium
Taz,anterior midgut primordium
l(1)G0095,anterior midgut primordium
l(1)G0084,anterior midgut primordium
l(1)G0030,anterior midgut primordium
l(1)G0007,anterior midgut primordium
CG13364,anterior midgut primordium
Aats-thr,anterior midgut primordium
Aats-lys,anterior midgut primordium
Aats-leu,anterior midgut primordium
Aats-ile,anterior midgut primordium
Aats-gly,anterior midgut primordium
Aats-arg,anterior midgut primordium
Aats-ala,anterior midgut primordium
inx7,anterior midgut primordium
Gmap,anterior midgut primordium
l(1)G0156,anterior midgut primordium
l(1)G0022,anterior midgut primordium
l(1)G0004,anterior midgut primordium
fz4,anterior midgut primordium
Tim10,anterior midgut primordium
Dnz1,anterior midgut primordium
rab3-GAP,anterior midgut primordium
CG1344,anterior midgut primordium
CG8920,anterior midgut primordium
CG5498,anterior midgut primordium
CG17712,anterior midgut primordium
CG9009,anterior midgut primordium
CG8611,anterior midgut primordium
CG8230,anterior midgut primordium
Adam,anterior midgut primordium
Pfrx,anterior midgut primordium
VhaSFD,anterior midgut primordium
SMC2,anterior midgut primordium
Mtch,anterior midgut primordium
CG14786,anterior midgut primordium
Dp1,anterior midgut primordium
Tsp96F,anterior midgut primordium
Nup170,anterior midgut primordium
CG1957,anterior midgut primordium
ppl,anterior midgut primordium
l(1)G0431,anterior midgut primordium
l(1)G0320,anterior midgut primordium
l(1)G0230,anterior midgut primordium
inx3,anterior midgut primordium
Nxt1,anterior midgut primordium
Kr-h1,anterior midgut primordium
CG9611,anterior midgut primordium
CG4455,anterior midgut primordium
cenG1A,anterior midgut primordium
EndoGI,anterior midgut primordium
CG7516,anterior midgut primordium
xl6,anterior midgut primordium
pUf68,anterior midgut primordium
VhaPPA1-1,anterior midgut primordium
VhaM9.7-2,anterior midgut primordium
VhaM9.7-b,anterior midgut primordium
VhaAC39,anterior midgut primordium
Vha100-2,anterior midgut primordium
Sema-5c,anterior midgut primordium
Tbp-1,anterior midgut primordium
Rpn9,anterior midgut primordium
Nhe3,anterior midgut primordium
CG5033,anterior midgut primordium
CSN6,anterior midgut primordium
CG31732,anterior midgut primordium
CG3287,anterior midgut primordium
CG8788,anterior midgut primordium
deltaCOP,anterior midgut primordium
xmas-2,anterior midgut primordium
miple2,anterior midgut primordium
asf1,anterior midgut primordium
Uba2,anterior midgut primordium
Sucb,anterior midgut primordium
REG,anterior midgut primordium
NHP2,anterior midgut primordium
kisir,anterior midgut primordium
fu2,anterior midgut primordium
FKBP59,anterior midgut primordium
CHES-1-like,anterior midgut primordium
CG8636,anterior midgut primordium
CG14270,anterior midgut primordium
CG2875,anterior midgut primordium
CG2941,anterior midgut primordium
CHOp24,anterior midgut primordium
CG11444,anterior midgut primordium
CG4068,anterior midgut primordium
Sas10,anterior midgut primordium
CG3249,anterior midgut primordium
CG12730,anterior midgut primordium
CG4078,anterior midgut primordium
CG3033,anterior midgut primordium
CG3011,anterior midgut primordium
Grip,anterior midgut primordium
CG3847,anterior midgut primordium
CG3224,anterior midgut primordium
CG3198,anterior midgut primordium
CG3192,anterior midgut primordium
CG4532,anterior midgut primordium
CG4557,anterior midgut primordium
CG14430,anterior midgut primordium
CG12151,anterior midgut primordium
CG18624,anterior midgut primordium
CG1444,anterior midgut primordium
CG2263,anterior midgut primordium
CG1785,anterior midgut primordium
CG7033,anterior midgut primordium
CG7766,anterior midgut primordium
CG7039,anterior midgut primordium
RpS28b,anterior midgut primordium
CG1354,anterior midgut primordium
CG15211,anterior midgut primordium
feo,anterior midgut primordium
CG1582,anterior midgut primordium
CG10353,anterior midgut primordium
CG1463,anterior midgut primordium
CG4661,anterior midgut primordium
CG15717,anterior midgut primordium
CG1622,anterior midgut primordium
IP3K2,anterior midgut primordium
CG1660,anterior midgut primordium
CG11134,anterior midgut primordium
CG14407,anterior midgut primordium
CG5548,anterior midgut primordium
CG9123,anterior midgut primordium
CG6340,anterior midgut primordium
CG8128,anterior midgut primordium
mRpS30,anterior midgut primordium
CG9066,anterior midgut primordium
CG9172,anterior midgut primordium
eIF5,anterior midgut primordium
CG4420,anterior midgut primordium
mRpL22,anterior midgut primordium
Rrp45,anterior midgut primordium
CG13005,anterior midgut primordium
CG4875,anterior midgut primordium
Rcp,anterior midgut primordium
CG8949,anterior midgut primordium
CG5703,anterior midgut primordium
CG8289,anterior midgut primordium
CG5800,anterior midgut primordium
CG8211,anterior midgut primordium
CG15814,anterior midgut primordium
CG6769,anterior midgut primordium
CG7536,anterior midgut primordium
dik,anterior midgut primordium
CG6361,anterior midgut primordium
CG6659,anterior midgut primordium
CG7889,anterior midgut primordium
CG8010,anterior midgut primordium
CG8034,anterior midgut primordium
CG12203,anterior midgut primordium
,anterior midgut primordium
CG14222,anterior midgut primordium
CG14235,anterior midgut primordium
CG12701,anterior midgut primordium
CG1529,anterior midgut primordium
CG1518,anterior midgut primordium
CG12576,anterior midgut primordium
CG11455,anterior midgut primordium
CG3436,anterior midgut primordium
CG11555,anterior midgut primordium
CG11562,anterior midgut primordium
CG3561,anterior midgut primordium
CG4226,anterior midgut primordium
CG4552,anterior midgut primordium
CG4726,anterior midgut primordium
CG31937,anterior midgut primordium
AIF,anterior midgut primordium
CG7082,anterior midgut primordium
CG10882,anterior midgut primordium
CG3609,anterior midgut primordium
CG3542,anterior midgut primordium
CG3605,anterior midgut primordium
CG17259,anterior midgut primordium
CG12400,anterior midgut primordium
CG17593,anterior midgut primordium
CG3964,anterior midgut primordium
CG3714,anterior midgut primordium
CG15433,anterior midgut primordium
CG15628,anterior midgut primordium
CG3008,anterior midgut primordium
mRpL24,anterior midgut primordium
mRpL28,anterior midgut primordium
Gmd,anterior midgut primordium
CG3792,anterior midgut primordium
CG14038,anterior midgut primordium
CG31919,anterior midgut primordium
CG8680,anterior midgut primordium
CG6907,anterior midgut primordium
CG9140,anterior midgut primordium
CG13993,anterior midgut primordium
CG9527,anterior midgut primordium
CG9526,anterior midgut primordium
CG11015,anterior midgut primordium
CG9596,anterior midgut primordium
CG9232,anterior midgut primordium
CG11188,anterior midgut primordium
CG3476,anterior midgut primordium
CG4567,anterior midgut primordium
CG7154,anterior midgut primordium
cdc14,anterior midgut primordium
CG7227,anterior midgut primordium
CG8353,anterior midgut primordium
mRpL51,anterior midgut primordium
CG13090,anterior midgut primordium
CG3752,anterior midgut primordium
CG4364,anterior midgut primordium
CG13122,anterior midgut primordium
CG5899,anterior midgut primordium
CG4619,anterior midgut primordium
CG13126,anterior midgut primordium
CG4901,anterior midgut primordium
CG4908,anterior midgut primordium
CG5708,anterior midgut primordium
eEF1delta,anterior midgut primordium
CG18162,anterior midgut primordium
Hand,anterior midgut primordium
CG4968,anterior midgut primordium
CG5385,anterior midgut primordium
CG4972,anterior midgut primordium
CG5037,anterior midgut primordium
CG5045,anterior midgut primordium
mRpS7,anterior midgut primordium
CG7456,anterior midgut primordium
Csl4,anterior midgut primordium
CG12314,anterior midgut primordium
CG6756,anterior midgut primordium
CG6766,anterior midgut primordium
CG6388,anterior midgut primordium
CG5525,anterior midgut primordium
CG5075,anterior midgut primordium
CG16972,anterior midgut primordium
Ski6,anterior midgut primordium
CG9306,anterior midgut primordium
CG9305,anterior midgut primordium
CG6565,anterior midgut primordium
CG9302,anterior midgut primordium
CG6866,anterior midgut primordium
CG9267,anterior midgut primordium
CG5953,anterior midgut primordium
CG12288,anterior midgut primordium
beat-IIIc,anterior midgut primordium
CG6412,anterior midgut primordium
,anterior midgut primordium
CG10414,anterior midgut primordium
MESR3,anterior midgut primordium
CG10341,anterior midgut primordium
mRpL13,anterior midgut primordium
CG10462,anterior midgut primordium
CG10631,anterior midgut primordium
CG10664,anterior midgut primordium
CG10728,anterior midgut primordium
CG10747,anterior midgut primordium
CG2493,anterior midgut primordium
CG9318,anterior midgut primordium
CG9273,anterior midgut primordium
CG12050,anterior midgut primordium
CG9253,anterior midgut primordium
CG9246,anterior midgut primordium
