Taf12,maternal
Taf11,maternal
Rsf1,maternal
l(3)j2D3,maternal
OstStt3,maternal
mtacp1,maternal
l(3)neo18,maternal
pr-set7,maternal
Ssdp,maternal
cpb,maternal
caz,maternal
Cdc37,maternal
Trp1,maternal
fra,maternal
grp,maternal
ine,maternal
Iswi,maternal
Klp3A,maternal
La,maternal
lark,maternal
Zyx102EF,maternal
Mad,maternal
Mef2,maternal
Moe,maternal
Mvl,maternal
Myo31DF,maternal
pav,maternal
RnrL,maternal
RnrS,maternal
rost,maternal
Syx5,maternal
Sep1,maternal
Snr1,maternal
spdo,maternal
wee,maternal
alpha-Man-II,maternal
Actr13E,maternal
Arp14D,maternal
Arp87C,maternal
PhKgamma,maternal
ctp,maternal
dhd,maternal
Dp,maternal
Dsp1,maternal
E2f,maternal
Fdh,maternal
Gip,maternal
Hem,maternal
Irbp,maternal
mRpL7-L12,maternal
Gem3,maternal
nmo,maternal
oaf,maternal
CG4038,maternal
Taf2,maternal
Tis11,maternal
Aldh,maternal
BtbVII,maternal
CalpA,maternal
Cdc27,maternal
DNApol-delta,maternal
Trl,maternal
FK506-bp1,maternal
Nmda1,maternal
Syx1A,maternal
TfIIA-S,maternal
UTPase,maternal
l(2)dtl,maternal
l(3)70Da,maternal
l(3)82Fd,maternal
not,maternal
nuf,maternal
sced,maternal
alien,maternal
Arf51F,maternal
Bgb,maternal
Bro,maternal
Caki,maternal
Chit,maternal
Chi,maternal
cnn,maternal
Cyp6a22,maternal
Deaf1,maternal
Eip93F,maternal
FK506-bp2,maternal
PR2,maternal
imd,maternal
MAPk-Ak2,maternal
Calx,maternal
Pdi,maternal
Ptp69D,maternal
Rab2,maternal
Rab5,maternal
Rac2,maternal
Rapgap1,maternal
Rel,maternal
Rho1,maternal
Rlb1,maternal
Rnp4F,maternal
RpS12,maternal
SdhB,maternal
Sep2,maternal
Sptr,maternal
Ugt,maternal
CG4278,maternal
barr,maternal
bif,maternal
Oda,maternal
Hel25E,maternal
prod,maternal
mof,maternal
mub,maternal
noi,maternal
Vps26,maternal
CG11899,maternal
Ahcy13,maternal
CrebB-17A,maternal
Cyp4e2,maternal
Mcm2,maternal
Ost48,maternal
Pglym78,maternal
Psi,maternal
Roe1,maternal
Set,maternal
CG3488,maternal
CG2678,maternal
betaggt-I,maternal
tgo,maternal
Cctgamma,maternal
CkIalpha,maternal
CkIIalpha-i1,maternal
Ddx1,maternal
eIF-4E,maternal
Fer2LCH,maternal
Fer1HCH,maternal
HLH106,maternal
Hr78,maternal
Hr96,maternal
Hsp60,maternal
Iap2,maternal
Nap1,maternal
Orc2,maternal
Orc5,maternal
Pcmt,maternal
Pi3K59F,maternal
Pi3K68D,maternal
Pi3K92E,maternal
Pros26.4,maternal
Pros54,maternal
RfC40,maternal
RpL22,maternal
shark,maternal
Shc,maternal
Srp19,maternal
Ssb-c31a,maternal
UbcD2,maternal
UbcD4,maternal
Vha26,maternal
abs,maternal
CG5861,maternal
CG14906,maternal
oxt,maternal
chrw,maternal
crl,maternal
cutlet,maternal
hoip,maternal
jumu,maternal
Rme-8,maternal
lin19,maternal
mbc,maternal
olf186-M,maternal
pen,maternal
sima,maternal
tos,maternal
unpg,maternal
yin,maternal
